blood_sugar,outcome
87,151
69,75
85,141
89,206
80,135
68,97
82,138
92,63
94,110
88,310
83,101
77,69
81,179
88,185
73,118
81,171
98,166
91,144
87,
78,168
95,68
87,49
88,68
124,245
78,184
83,202
90,137
101,85
78,131
104,283
89,129
81,59
98,341
92,87
75,65
96,102
85,265
90,276
97,
92,90
114,100
89,55
83,61
109,92
87,259
79,53
70,190
71,142
86,75
88,142
93,155
86,225
88,59
103,104
93,182
93,128
87,52
75,37
79,
96,170
83,61
96,144
85,52
74,128
94,71
95,163
96,150
92,97
92,160
96,178
101,48
106,270
87,202
89,111
109,85
98,42
95,170
91,200
71,
85,113
90,143
91,51
72,52
81,210
60,65
74,141
83,55
82,134
108,42
96,111
94,98
96,164
94,48
78,96
69,90
90,162
99,150
110,279
75,
78,83
91,128
100,102
91,302
84,198
76,95
96,53
71,134
90,144
101,232
117,81
95,104
80,59
92,246
113,297
97,258
92,229
98,275
124,281
105,
98,200
86,200
94,173
103,180
109,84
88,121
93,161
78,99
68,109
74,115
120,268
109,274
72,158
97,107
84,83
80,103
105,272
86,85
88,280
109,
90,281
95,118
123,317
91,235
81,60
93,174
79,259
93,178
101,128
91,96
82,126
89,288
88,88
109,292
94,71
92,197
103,186
83,25
98,84
79,
87,195
80,53
112,217
91,172
106,131
88,214
88,59
66,70
117,220
122,268
96,152
87,47
80,74
112,295
78,101
93,151
92,127
96,237
99,225
84,
89,151
91,107
76,64
89,138
105,185
99,265
87,101
82,137
66,143
89,141
85,79
90,292
89,178
77,91
96,116
97,86
97,122
94,72
100,129
77,
93,90
102,158
98,39
84,196
98,222
110,277
85,99
92,196
100,202
120,155
88,77
77,191
86,70
96,73
93,49
78,65
117,263
103,248
102,296
88,
84,185
75,78
82,93
96,252
79,150
89,77
92,208
78,77
93,108
79,160
94,53
108,220
94,154
99,259
82,90
105,246
103,124
94,67
91,72
86,
103,262
96,275
105,177
74,71
81,47
90,187
60,125
77,78
69,51
101,258
93,215
100,303
101,243
84,91
108,150
113,310
93,153
94,346
79,63
105,
93,50
87,39
95,103
92,308
87,116
86,145
101,74
92,45
98,115
109,264
82,87
95,202
93,127
69,182
100,241
95,66
108,94
86,283
95,64
99,
85,200
87,265
92,94
98,230
84,181
78,156
86,233
90,60
90,219
87,80
83,68
102,332
77,248
82,84
91,200
83,55
92,85
77,89
78,31
88,
91,83
102,275
100,65
98,198
86,236
88,253
75,124
88,44
111,172
72,114
111,142
99,109
97,180
84,144
91,163
82,147
91,97
101,220
108,190
99,
106,191
92,122
106,230
111,242
105,248
96,249
103,192
98,131
90,237
96,78
102,135
95,244
90,199
100,270
99,164
78,72
77,96
104,306
92,91
77,
95,95
84,216
87,263
97,178
93,113
84,200
91,139
95,139
84,88
91,148
74,88
124,243
81,71
82,77
92,109
106,272
94,60
73,54
77,221
80,
106,311
101,281
97,182
101,321
94,58
115,262
115,206
103,233
99,242
111,123
98,167
73,63
87,197
86,71
91,168
72,140
96,217
91,121
76,235
82,
97,40
85,52
78,104
100,132
93,88
82,69
88,219
92,72
73,201
82,110
70,51
109,277
79,63
107,118
86,69
93,273
78,258
83,43
97,198
75,
96,232
89,175
101,93
102,168
101,275
89,293
84,281
58,72
96,140
101,189
90,181
81,209
85,136
112,261
96,113
93,131
92,174
100,257
92,55
93,
90,42
106,146
95,212
89,233
80,91
97,111
79,152
112,120
99,67
123,310
82,94
87,183
91,66
117,173
89,72
99,49
82,64
80,48
93,178
102,
95,132
85,220
92,57
