ID,age,sex,grade
2,4,1,2
3,4,2,2
5,4,1,2
6,4,2,2
7,4,2,2
10,4,1,2
11,6,2,2
13,.N,2,2
14,4,2,2
15,5,1,2
19,4,1,2
20,11,1,7
22,4,2,2
23,4,1,2
24,4,2,2
27,4,1,2
28,4,2,2
30,5,1,2
31,5,1,2
35,5,2,2
36,6,2,3
37,6,1,3
38,5,1,3
39,6,1,3
40,6,1,3
43,5,1,3
44,5,2,3
45,5,.N,3
46,6,2,3
47,5,2,3
48,5,1,3
50,5,1,3
51,5,1,3
52,6,1,3
53,5,1,3
55,6,1,3
56,6,1,3
57,5,2,3
58,6,1,3
59,6,2,3
60,5,2,3
61,5,2,3
62,6,1,3
63,5,2,3
64,5,1,3
65,5,1,3
66,5,1,3
67,5,2,3
68,5,1,3
71,7,1,4
72,6,1,4
73,6,2,4
74,6,1,4
76,6,1,4
78,7,1,4
79,7,2,4
80,6,1,4
81,6,1,4
82,7,1,4
84,7,2,4
86,6,2,4
87,7,2,4
88,6,1,4
89,6,2,4
90,7,1,4
94,6,1,4
95,6,1,4
96,7,2,4
98,7,2,4
100,7,1,4
102,7,1,4
103,6,1,4
104,7,1,4
106,7,1,5
108,7,2,5
109,7,2,5
111,8,1,5
113,8,1,5
114,8,2,5
115,8,1,5
116,8,1,5
117,7,1,5
118,8,1,5
119,8,2,5
120,7,2,5
121,7,1,5
122,8,1,5
123,8,2,5
124,8,2,5
127,7,1,5
128,8,1,5
129,1,1,5
130,7,2,5
131,7,1,5
132,8,1,5
134,9,1,6
136,8,1,6
138,9,1,6
140,8,1,6
142,9,1,6
144,8,1,6
146,8,1,6
148,8,1,6
150,9,1,6
152,8,1,6
156,9,1,6
158,8,1,6
160,8,1,6
164,8,1,6
166,8,1,6
168,9,1,7
169,10,1,7
170,9,2,7
171,9,1,7
173,10,2,7
175,10,2,7
176,9,1,7
177,10,1,7
178,9,2,7
179,10,1,7
181,9,1,7
183,9,2,7
184,10,2,7
185,10,2,7
186,10,1,7
187,9,1,7
191,10,2,7
192,10,2,7
193,9,1,7
196,3,1,1
197,3,2,1
198,3,1,1
199,3,2,1
200,3,2,1
201,4,1,1
202,4,1,1
204,4,1,1
205,4,1,1
207,3,2,1
208,3,1,1
209,3,1,1
210,4,1,1
212,3,1,1
213,3,1,1
215,3,2,1
216,3,2,1
