ID,tobacco_type,response
2,cigar,.S
2,cigarette,.S
2,e-cigarette,.S
2,heated tobacco,.S
2,hookah,.S
2,smokeless tobacco,.S
3,cigar,.S
3,cigarette,.S
3,e-cigarette,.S
3,heated tobacco,.S
3,hookah,.S
3,smokeless tobacco,.S
5,cigar,.S
5,cigarette,.S
5,e-cigarette,.S
5,heated tobacco,.S
5,hookah,.S
5,smokeless tobacco,.S
6,cigar,.S
6,cigarette,.S
6,e-cigarette,.S
6,heated tobacco,.S
6,hookah,.S
6,smokeless tobacco,.S
7,cigar,.S
7,cigarette,.S
7,e-cigarette,.S
7,heated tobacco,.S
7,hookah,.S
7,smokeless tobacco,.S
10,cigar,.S
10,cigarette,.S
10,e-cigarette,.S
10,heated tobacco,.S
10,hookah,.S
10,smokeless tobacco,.S
11,cigar,.S
11,cigarette,.S
11,e-cigarette,.S
11,heated tobacco,.S
11,hookah,.S
11,smokeless tobacco,.S
13,cigar,.S
13,cigarette,.S
13,e-cigarette,.S
13,heated tobacco,.S
13,hookah,.S
13,smokeless tobacco,.S
14,cigar,.S
14,cigarette,.S
14,e-cigarette,.S
14,heated tobacco,.S
14,hookah,.S
14,smokeless tobacco,.S
15,cigar,.S
15,cigarette,.S
15,e-cigarette,.S
15,heated tobacco,.S
15,hookah,.S
15,smokeless tobacco,.S
19,cigar,.S
19,cigarette,.S
19,e-cigarette,.S
19,heated tobacco,.S
19,hookah,.S
19,smokeless tobacco,.S
20,cigar,.S
20,cigarette,30
20,e-cigarette,30
20,heated tobacco,0
20,hookah,.S
20,smokeless tobacco,.S
22,cigar,.S
22,cigarette,.S
22,e-cigarette,.S
22,heated tobacco,.S
22,hookah,.S
22,smokeless tobacco,.S
23,cigar,.S
23,cigarette,.S
23,e-cigarette,.S
23,heated tobacco,0
23,hookah,.S
23,smokeless tobacco,.S
24,cigar,.S
24,cigarette,.S
24,e-cigarette,.S
24,heated tobacco,.S
24,hookah,.S
24,smokeless tobacco,.S
27,cigar,.S
27,cigarette,.S
27,e-cigarette,.S
27,heated tobacco,.N
27,hookah,.S
27,smokeless tobacco,.S
28,cigar,.S
28,cigarette,.S
28,e-cigarette,.S
28,heated tobacco,.S
28,hookah,.S
28,smokeless tobacco,.S
30,cigar,.S
30,cigarette,.S
30,e-cigarette,.S
30,heated tobacco,.S
30,hookah,.S
30,smokeless tobacco,.S
31,cigar,.S
31,cigarette,.S
31,e-cigarette,.S
31,heated tobacco,.S
31,hookah,.S
31,smokeless tobacco,.S
35,cigar,.S
35,cigarette,.S
35,e-cigarette,.S
35,heated tobacco,.S
35,hookah,.S
35,smokeless tobacco,.S
36,cigar,.S
36,cigarette,.S
36,e-cigarette,.S
36,heated tobacco,.S
36,hookah,.S
36,smokeless tobacco,.S
37,cigar,19
37,cigarette,.S
37,e-cigarette,30
37,heated tobacco,.S
37,hookah,1
37,smokeless tobacco,.S
38,cigar,.S
38,cigarette,.S
38,e-cigarette,.S
38,heated tobacco,.S
38,hookah,.S
38,smokeless tobacco,.S
39,cigar,.S
39,cigarette,.S
39,e-cigarette,.S
39,heated tobacco,.S
39,hookah,.S
39,smokeless tobacco,.S
40,cigar,.S
40,cigarette,.S
40,e-cigarette,.S
40,heated tobacco,.S
40,hookah,.S
40,smokeless tobacco,.S
43,cigar,.S
43,cigarette,.S
43,e-cigarette,.S
43,heated tobacco,.S
43,hookah,.S
43,smokeless tobacco,.S
44,cigar,.S
44,cigarette,.S
44,e-cigarette,.S
44,heated tobacco,.S
44,hookah,.S
44,smokeless tobacco,.S
45,cigar,.S
45,cigarette,.S
45,e-cigarette,.S
45,heated tobacco,.S
45,hookah,.S
45,smokeless tobacco,.S
46,cigar,.S
46,cigarette,.S
46,e-cigarette,.S
46,heated tobacco,.S
46,hookah,.S
46,smokeless tobacco,.S
47,cigar,.S
47,cigarette,.S
47,e-cigarette,.S
47,heated tobacco,.S
47,hookah,.S
47,smokeless tobacco,.S
48,cigar,.S
48,cigarette,.S
48,e-cigarette,.S
48,heated tobacco,.S
48,hookah,.S
48,smokeless tobacco,.S
50,cigar,0
50,cigarette,0
50,e-cigarette,1
50,heated tobacco,.S
50,hookah,.S
50,smokeless tobacco,.S
51,cigar,0
51,cigarette,0
51,e-cigarette,15
51,heated tobacco,.S
51,hookah,0
51,smokeless tobacco,0
52,cigar,.S
52,cigarette,.S
52,e-cigarette,.S
52,heated tobacco,.S
52,hookah,.S
52,smokeless tobacco,.S
53,cigar,2
53,cigarette,0
53,e-cigarette,5
53,heated tobacco,.S
53,hookah,.S
53,smokeless tobacco,.S
55,cigar,.S
55,cigarette,.S
55,e-cigarette,.S
55,heated tobacco,.S
55,hookah,.S
55,smokeless tobacco,.S
56,cigar,.S
56,cigarette,.S
56,e-cigarette,.S
56,heated tobacco,.S
56,hookah,.S
56,smokeless tobacco,.S
57,cigar,.S
57,cigarette,.S
57,e-cigarette,.S
57,heated tobacco,.S
57,hookah,.S
57,smokeless tobacco,.S
58,cigar,.S
58,cigarette,.S
58,e-cigarette,.S
58,heated tobacco,.S
58,hookah,.S
58,smokeless tobacco,.S
59,cigar,.S
59,cigarette,.S
59,e-cigarette,.S
59,heated tobacco,.S
59,hookah,.S
59,smokeless tobacco,.S
60,cigar,.S
60,cigarette,.S
60,e-cigarette,4
60,heated tobacco,.S
60,hookah,0
60,smokeless tobacco,.S
61,cigar,.S
61,cigarette,.S
61,e-cigarette,.S
61,heated tobacco,.S
61,hookah,.S
61,smokeless tobacco,.S
62,cigar,.S
62,cigarette,.S
62,e-cigarette,.S
62,heated tobacco,.S
62,hookah,.S
62,smokeless tobacco,.S
63,cigar,.S
63,cigarette,.S
63,e-cigarette,.S
63,heated tobacco,.S
63,hookah,.S
63,smokeless tobacco,.S
64,cigar,.S
64,cigarette,.S
64,e-cigarette,.S
64,heated tobacco,.S
64,hookah,.S
64,smokeless tobacco,.S
65,cigar,.S
65,cigarette,.S
65,e-cigarette,0
65,heated tobacco,.S
65,hookah,.S
65,smokeless tobacco,.S
66,cigar,.S
66,cigarette,.S
66,e-cigarette,.S
66,heated tobacco,.S
66,hookah,.S
66,smokeless tobacco,.S
67,cigar,.S
67,cigarette,.S
67,e-cigarette,.S
67,heated tobacco,.S
67,hookah,.S
67,smokeless tobacco,.S
68,cigar,.S
68,cigarette,.S
68,e-cigarette,.S
68,heated tobacco,.S
68,hookah,.S
68,smokeless tobacco,.S
