ID,tobacco_type,response
2,cigar,2
2,cigarette,2
2,e-cigarette,2
2,heated tobacco,2
2,hookah,2
2,smokeless tobacco,2
3,cigar,2
3,cigarette,2
3,e-cigarette,2
3,heated tobacco,2
3,hookah,2
3,smokeless tobacco,2
5,cigar,2
5,cigarette,2
5,e-cigarette,2
5,heated tobacco,2
5,hookah,2
5,smokeless tobacco,2
6,cigar,2
6,cigarette,2
6,e-cigarette,2
6,heated tobacco,2
6,hookah,2
6,smokeless tobacco,2
7,cigar,2
7,cigarette,2
7,e-cigarette,2
7,heated tobacco,2
7,hookah,2
7,smokeless tobacco,2
10,cigar,2
10,cigarette,2
10,e-cigarette,2
10,heated tobacco,2
10,hookah,2
10,smokeless tobacco,2
11,cigar,2
11,cigarette,2
11,e-cigarette,2
11,heated tobacco,2
11,hookah,2
11,smokeless tobacco,2
13,cigar,2
13,cigarette,2
13,e-cigarette,2
13,heated tobacco,2
13,hookah,2
13,smokeless tobacco,2
14,cigar,2
14,cigarette,2
14,e-cigarette,2
14,heated tobacco,2
14,hookah,2
14,smokeless tobacco,2
15,cigar,2
15,cigarette,2
15,e-cigarette,2
15,heated tobacco,2
15,hookah,2
15,smokeless tobacco,2
19,cigar,2
19,cigarette,2
19,e-cigarette,2
19,heated tobacco,2
19,hookah,2
19,smokeless tobacco,2
20,cigar,2
20,cigarette,1
20,e-cigarette,1
20,heated tobacco,3
20,hookah,2
20,smokeless tobacco,2
22,cigar,2
22,cigarette,2
22,e-cigarette,2
22,heated tobacco,2
22,hookah,2
22,smokeless tobacco,2
23,cigar,2
23,cigarette,2
23,e-cigarette,2
23,heated tobacco,3
23,hookah,2
23,smokeless tobacco,2
24,cigar,2
24,cigarette,2
24,e-cigarette,2
24,heated tobacco,2
24,hookah,2
24,smokeless tobacco,2
27,cigar,2
27,cigarette,2
27,e-cigarette,2
27,heated tobacco,3
27,hookah,2
27,smokeless tobacco,2
28,cigar,2
28,cigarette,2
28,e-cigarette,2
28,heated tobacco,2
28,hookah,2
28,smokeless tobacco,2
30,cigar,2
30,cigarette,2
30,e-cigarette,2
30,heated tobacco,2
30,hookah,2
30,smokeless tobacco,2
31,cigar,2
31,cigarette,2
31,e-cigarette,2
31,heated tobacco,2
31,hookah,2
31,smokeless tobacco,2
35,cigar,2
35,cigarette,2
35,e-cigarette,2
35,heated tobacco,2
35,hookah,2
35,smokeless tobacco,2
36,cigar,2
36,cigarette,2
36,e-cigarette,2
36,heated tobacco,2
36,hookah,2
36,smokeless tobacco,2
37,cigar,1
37,cigarette,2
37,e-cigarette,1
37,heated tobacco,2
37,hookah,1
37,smokeless tobacco,2
38,cigar,2
38,cigarette,2
38,e-cigarette,2
38,heated tobacco,2
38,hookah,2
38,smokeless tobacco,2
39,cigar,2
39,cigarette,2
39,e-cigarette,2
39,heated tobacco,2
39,hookah,2
39,smokeless tobacco,2
40,cigar,2
40,cigarette,2
40,e-cigarette,2
40,heated tobacco,2
40,hookah,2
40,smokeless tobacco,2
43,cigar,2
43,cigarette,2
43,e-cigarette,2
43,heated tobacco,2
43,hookah,2
43,smokeless tobacco,2
44,cigar,2
44,cigarette,2
44,e-cigarette,2
44,heated tobacco,2
44,hookah,2
44,smokeless tobacco,2
45,cigar,2
45,cigarette,2
45,e-cigarette,2
45,heated tobacco,2
45,hookah,2
45,smokeless tobacco,2
46,cigar,2
46,cigarette,2
46,e-cigarette,2
46,heated tobacco,2
46,hookah,2
46,smokeless tobacco,2
47,cigar,2
47,cigarette,2
47,e-cigarette,2
47,heated tobacco,2
47,hookah,2
47,smokeless tobacco,2
48,cigar,2
48,cigarette,2
