Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Asian/PI,,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""","CHIS Statistically unstable.YRBSS was not used since it is only representative of San Diego City (not San Diego County); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Female,All,48.2,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,45.9,50.5
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Male,All,45.7,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,43.2,48.3
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Black,46.6,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,41.8,51.6
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,American Indian/Alaska Native,46.8,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,31.3,65.5
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,White,44.7,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,42.5,47.0
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Hispanic,50.5,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,47.0,54.1
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Multiracial,45.3,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,38.4,52.8
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,All,46.9,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2010-2011 flu season,,,45.2,48.7
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Asian/PI,56.4,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Asian alone; Value reported is for the 2010-2011 flu season,,,50.3,62.6
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2010,Both,Black,,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""","CHIS Statistically unstable.YRBSS was not used since it is only representative of San Diego City (not San Diego County); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,White,46.8,"Los Angeles, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"California Health Interview Survey, 2011-12",Countywide data only.  The flu question was asked only of parents of children age 6 months through 11 years of age in 2011-2012.,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,47.1,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,45.3,48.9
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,American Indian/Alaska Native,59.8,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,45.5,74.5
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Asian/PI,62.5,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Asian alone; Value reported is for the 2011-2012 flu season,,,55.4,69.5
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Hispanic,50.2,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,46.9,53.6
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Multiracial,49.9,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,43.0,57.2
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,White,44.1,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,41.5,46.7
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Female,All,47.0,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,44.6,49.6
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Male,All,47.2,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,NHIS (CDC/NCHS),NHIS; Percent of children aged 6 months through 17 years who are vaccinated annually against seasonal influenza,Value reported is for the 2011-2012 flu season,,,44.7,49.7
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Black,45.3,"Los Angeles, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"California Health Interview Survey, 2011-12",Countywide data only.  The flu question was asked only of parents of children age 6 months through 11 years of age in 2011-2012.,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Male,All,52.0,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""",YRBSS was not used since it is only representative of San Diego City (not San Diego County),,,39.5,64.4
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Other,,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""","Other=American Indian/Alaskan Native and Two or more races (not hispanic) 2014 and 2015 statistically unstable; Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,13.6,"Seattle, WA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,,"2011, 2012, 2013; percent of population under age 18, vaccinated for flu. This is the proportion of active patients registered in the WA State Immunization Information System registry (i.e Child Profile) that have received one valid flu dose at any time (used midpoint of year - june 30th)",,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Female,All,50.2,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""",YRBSS was not used since it is only representative of San Diego City (not San Diego County),,,31.9,68.6
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Hispanic,61.0,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""",YRBSS was not used since it is only representative of San Diego City (not San Diego County),,,46.8,75.1
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Black,,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""","CHIS Statistically unstable.YRBSS was not used since it is only representative of San Diego City (not San Diego County); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
