provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zip_code,hrr,total_discharges,count_drgs,average_covered_charges,average_total_payments,latitude,longitude
360125,ASHTABULA COUNTY MEDICAL CENTER,2420 LAKE AVENUE,ASHTABULA,OH,44004,OH - Cleveland,1293,,18523.00044,7251.605126,41.880342,-80.795533
360074,FLOWER HOSPITAL,5200 HARROUN ROAD,SYLVANIA,OH,43560,OH - Toledo,1617,,38380.74139,8166.373327,41.7090499,-83.6943967
360262,MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,TOLEDO,OH,43623,OH - Toledo,1241,,37444.53434,6262.346723,41.6918396,-83.6253511
360068,TOLEDO HOSPITAL THE,2142 NORTH COVE BOULEVARD,TOLEDO,OH,43606,OH - Toledo,4546,,51630.05042,10305.31702,41.674261,-83.596403
360112,MERCY ST VINCENT MEDICAL CENTER,2213 CHERRY STREET,TOLEDO,OH,43608,OH - Toledo,4303,,44744.67246,12232.46219,41.6689667,-83.5424201
360098,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,OH - Cleveland,5678,,30993.1274,7855.177253,41.66317,-81.246959
360081,MERCY ST CHARLES HOSPITAL,2600 NAVARRE AVENUE,OREGON,OH,43616,OH - Toledo,1896,,36722.69674,8516.632075,41.6338719,-83.485282
360259,BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,43616,OH - Toledo,553,,30316.69604,5882.56846,41.6202688,-83.4833096
360048,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43699,OH - Toledo,2411,,40470.97239,13890.71216,41.6178782,-83.6163207
360082,EUCLID HOSPITAL,18901 LAKE SHORE BOULEVARD,EUCLID,OH,44119,OH - Cleveland,1716,,23620.42862,6853.711623,41.5975309,-81.5479189
360075,UHHS RICHMOND HEIGHTS HOSPITAL,27100 CHARDON ROAD,RICHMOND HEIGHT,OH,44143,OH - Cleveland,832,,20491.61585,7992.105771,41.5812959,-81.4897946
360090,ST LUKE'S HOSPITAL,5901 MONCLOVA ROAD,MAUMEE,OH,43537,OH - Toledo,3197,,22614.40785,8056.565554,41.557253,-83.681413
360101,HURON HOSPITAL,13951 TERRACE ROAD,CLEVELAND,OH,44112,OH - Cleveland,806,,25203.04743,9793.153478,41.525222,-81.58267
360230,HILLCREST HOSPITAL,6780 MAYFIELD ROAD,MAYFIELD HEIGHT,OH,44124,OH - Cleveland,5468,,29818.30923,8220.101311,41.5201268,-81.432907
360192,UH GEAUGA MEDICAL CENTER,13207 RAVENNA RD,CHARDON,OH,44024,OH - Cleveland,1575,,28250.00804,7313.9585,41.50885,-81.190188
360137,UNIVERSITY HOSPITALS OF CLEVELAND,11100 EUCLID AVENUE,CLEVELAND,OH,44106,OH - Cleveland,5176,,37185.18501,13565.06367,41.5072304,-81.6071674
360180,CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,OH,44195,OH - Cleveland,8082,,48518.70751,12532.18513,41.5010882,-81.6212948
360037,ST VINCENT CHARITY MEDICAL CENTER,2351 EAST 22ND STREET,CLEVELAND,OH,44115,OH - Cleveland,1132,,27671.60067,10941.3929,41.4957778,-81.6734631
360087,LUTHERAN HOSPITAL,1730 WEST 25TH STREET,CLEVELAND,OH,44113,OH - Cleveland,871,,28652.31275,7776.984228,41.4879543,-81.7064429
360212,LAKEWOOD HOSPITAL,14519 DETROIT AVENUE,LAKEWOOD,OH,44107,OH - Cleveland,1919,,31454.52041,7477.743723,41.4847899,-81.7964889
360121,COMMUNITY HOSPITALS AND WELLNESS CENTERS,433 WEST HIGH STREET,BRYAN,OH,43506,IN - Fort Wayne,585,,15190.53005,7531.398059,41.474083,-84.556865
360059,METRO HEALTH MEDICAL CENTER,2500 METROHEALTH DRIVE,CLEVELAND,OH,44109,OH - Cleveland,2773,,24223.50052,14039.24692,41.4619589,-81.6974553
360359,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,3999 RICHMOND ROAD,BEACHWOOD,OH,44122,OH - Cleveland,494,,22566.73061,5400.806124,41.4530706,-81.4954387
360077,FAIRVIEW HOSPITAL,18101 LORAIN AVENUE,CLEVELAND,OH,44111,OH - Cleveland,4673,,37035.95299,9203.900735,41.4501274,-81.8239658
360144,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HE,OH,44122,OH - Cleveland,2629,,27485.50894,8662.99711,41.447877,-81.537086
360025,FIRELANDS REGIONAL MEDICAL CENTER,1111 HAYES AVENUE,SANDUSKY,OH,44870,OH - Cleveland,2993,,25662.56145,8536.839328,41.4463941,-82.7087028
360172,MERCY REGIONAL MEDICAL CENTER,3700 KOLBE ROAD,LORAIN,OH,44053,OH - Elyria,4285,,25702.9408,8413.638444,41.4368849,-82.237613
360123,ST JOHN MEDICAL CENTER,29000 CENTER RIDGE ROAD,WESTLAKE,OH,44145,OH - Cleveland,3608,,24966.61356,8955.538218,41.436532,-81.944514
360143,MARYMOUNT HOSPITAL,12300 MCCRACKEN ROAD,GARFIELD HEIGHT,OH,44125,OH - Cleveland,3443,,31347.66541,7073.188859,41.421116,-81.598084
