Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,1.5,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC",,,,0.3,2.7
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,0.8,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.",Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,1.6,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.",Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,1.3,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.",Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,,"Oakland (Alameda County), CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",CCR Title 17 reportable diseases reported to ACPHD Acute Communicable Disease Unit,Denominator used was CA Dept of Finance projections year of interest,"Data is for Alameda County (excluding the city of Berkeley); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here due to small numbers; Includes shiga toxin in feces. ",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Asian/PI,,"Oakland (Alameda County), CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",CCR Title 17 reportable diseases reported to ACPHD Acute Communicable Disease Unit,Denominator used was CA Dept of Finance projections year of interest,"Data is for Alameda County (excluding the city of Berkeley); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here due to small numbers; Includes shiga toxin in feces. ",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Other,0.0,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,1.4,"Oakland (Alameda County), CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",CCR Title 17 reportable diseases reported to ACPHD Acute Communicable Disease Unit,Denominator used was CA Dept of Finance projections year of interest,"Data is for Alameda County.  includes shiga toxin in feces. Numerator too small to provide stable rates, therefore not calculated",,,0.9,2.2
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Hispanic,0.0,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
