"","provider_id","hospital_name","gastrointestinal","eye","nervous_system","musculoskeletal","skin","genitourinary","cardiovascular","respiratory","other"
"1",10001,"SOUTHEAST ALABAMA MEDICAL CENTER","28","256","377","1538","556","1572","12","0","0"
"2",10005,"MARSHALL MEDICAL CENTER SOUTH","3461","77","170","711","241","322","1","146","56"
"3",10006,"ELIZA COFFEE MEMORIAL HOSPITAL","6445","0","69","386","1986","258","106","65","75"
"4",10007,"MIZELL MEMORIAL HOSPITAL","737","157","0","171","0","93","0","0","79"
"5",10008,"CRENSHAW COMMUNITY HOSPITAL","0","0","0","0","22","9","0","0","1"
"6",10011,"ST VINCENT'S EAST","1277","0","92","372","139","187","293","72","87"
"7",10012,"DEKALB REGIONAL MEDICAL CENTER","2464","25","23","69","994","63","24","55","27"
"8",10016,"SHELBY BAPTIST MEDICAL CENTER","1071","0","95","650","2444","245","231","63","97"
"9",10018,"CALLAHAN EYE HOSPITAL","0","6562","0","0","328","0","0","0","0"
"10",10019,"HELEN KELLER MEMORIAL HOSPITAL","2814","648","73","359","97","410","0","110","47"
"11",10021,"DALE MEDICAL CENTER","695","0","0","297","85","0","0","5","94"
"12",10022,"CHEROKEE MEDICAL CENTER","620","210","0","0","88","3","0","0","0"
"13",10023,"BAPTIST MEDICAL CENTER SOUTH","1248","275","133","111","4936","100","170","57","474"
"14",10024,"JACKSON HOSPITAL & CLINIC INC","1785","49","109","617","155","549","155","33","209"
"15",10029,"EAST ALABAMA MEDICAL CENTER","8052","1473","410","1871","375","732","212","281","116"
"16",10032,"TANNER MEDICAL CENTER-EAST ALABAMA","175","0","0","0","0","0","0","0","0"
"17",10033,"UNIVERSITY OF ALABAMA HOSPITAL","3575","0","327","474","1325","1176","582","583","1064"
"18",10034,"COMMUNITY HOSPITAL INC","1031","60","19","29","5","9","0","10","0"
"19",10035,"CULLMAN REGIONAL MEDICAL CENTER","1953","1308","1777","838","1663","352","102","86","3"
"20",10036,"ANDALUSIA HEALTH","1548","140","186","130","564","146","309","18","9"
"21",10038,"STRINGFELLOW MEMORIAL HOSPITAL","1962","116","7","333","817","28","9","28","3"
"22",10039,"HUNTSVILLE HOSPITAL","13964","205","39244","3318","1220","2007","779","127","329"
"23",10040,"GADSDEN REGIONAL MEDICAL CENTER","4154","0","101","1587","812","338","43","149","72"
"24",10044,"MARION REGIONAL MEDICAL CENTER","0","0","0","0","0","0","0","0","0"
"25",10045,"FAYETTE MEDICAL CENTER","699","254","10","8","76","5","0","0","12"
"26",10046,"RIVERVIEW REGIONAL MEDICAL CENTER","3037","0","500","687","552","317","1","660","2121"
"27",10047,"GEORGIANA MEDICAL CENTER","0","0","0","0","0","0","0","0","0"
"28",10049,"MEDICAL CENTER ENTERPRISE","1721","69","75","297","312","69","0","86","40"
"29",10051,"GREENE COUNTY HOSPITAL","0","0","0","0","0","0","0","0","0"
"30",10052,"LAKE MARTIN COMMUNITY HOSPITAL","0","0","0","0","0","0","0","0","0"
"31",10055,"FLOWERS HOSPITAL","3460","10","151","532","2892","982","152","397","280"
"32",10056,"ST VINCENT'S BIRMINGHAM","7726","136","919","4190","1148","1024","178","535","274"
"33",10058,"BIBB MEDICAL CENTER","0","0","0","0","0","0","0","0","0"
"34",10059,"LAWRENCE MEDICAL CENTER","160","0","0","0","3","0","3","0","0"
"35",10061,"HIGHLANDS MEDICAL CENTER","1643","0","37","147","156","77","0","65","17"
"36",10062,"WIREGRASS MEDICAL CENTER","723","0","56","4","268","41","0","46","431"
"37",10065,"RUSSELL MEDICAL CENTER","2455","567","22","357","60","208","18","19","32"
"38",10069,"MEDICAL CENTER BARBOUR","384","3","4","12","140","40","0","40","125"
"39",10073,"CLAY COUNTY HOSPITAL","305","113","0","1","5","0","0","0","0"
"40",10078,"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","3361","353","93","200","455","328","63","21","125"
"41",10079,"ATHENS LIMESTONE HOSPITAL","1330","327","93","520","176","263","0","86","43"
"42",10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","2585","156","17","395","1348","95","16","65","21"
"43",10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1768","104","429","1744","3511","1937","329","222","0"
"44",10086,"NORTHWEST MEDICAL CENTER","682","321","28","42","53","7","7","0","14"
"45",10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2483","0","35","251","541","6","19","6","79"
"46",10089,"WALKER BAPTIST MEDICAL CENTER","2755","1096","142","845","92","232","4","58","28"
"47",10090,"PROVIDENCE HOSPITAL","6662","1606","71","669","344","254","33","385","143"
"48",10091,"GROVE HILL MEMORIAL HOSPITAL","808","0","3","0","30","6","0","0","0"
"49",10092,"D C H REGIONAL MEDICAL CENTER","3166","101","406","2270","9763","657","238","257","546"
"50",10095,"HALE COUNTY HOSPITAL","0","0","0","0","0","0","0","0","0"
"51",10097,"ELMORE COMMUNITY HOSPITAL","215","74","1","45","29","0","0","15","0"
"52",10099,"D W MCMILLAN MEMORIAL HOSPITAL","549","0","3","2","232","12","0","1","25"
"53",10100,"THOMAS HOSPITAL","4382","249","179","1746","181","664","16","158","136"
"54",10101,"CITIZENS BAPTIST MEDICAL CENTER","1516","302","61","38","228","14","0","4","7"
"55",10102,"J PAUL JONES HOSPITAL","0","0","0","0","0","0","0","0","0"
"56",10103,"PRINCETON BAPTIST MEDICAL CENTER","4591","734","104","461","2972","337","249","262","183"
"57",10104,"GRANDVIEW MEDICAL CENTER","3375","8","261","2855","2947","569","161","299","111"
"58",10108,"PRATTVILLE BAPTIST HOSPITAL","2666","411","0","51","56","8","0","0","14"
"59",10109,"PICKENS COUNTY MEDICAL CENTER","301","0","0","0","122","0","0","0","0"
"60",10110,"BULLOCK COUNTY HOSPITAL","0","0","0","0","0","0","0","0","0"
"61",10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","435","159","17","71","224","38","15","0","32"
"62",10113,"MOBILE INFIRMARY MEDICAL CENTER","7266","458","73","702","900","719","349","305","499"
"63",10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","2063","799","402","320","652","89","164","2","10"
"64",10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1261","248","34","157","183","189","272","27","380"
"65",10120,"MONROE COUNTY HOSPITAL","982","0","0","146","37","35","0","5","252"
"66",10125,"LAKELAND COMMUNITY HOSPITAL","46","0","0","0","0","0","0","0","0"
"67",10126,"TROY REGIONAL MEDICAL CENTER","1672","0","26","161","19","68","0","15","3"
"68",10128,"JACKSON MEDICAL CENTER","0","5","0","0","0","0","0","0","50"
"69",10129,"NORTH BALDWIN INFIRMARY","564","8","11","303","49","114","0","0","14"
"70",10130,"ST VINCENT'S ST CLAIR","1566","65","45","20","2990","39","11","0","9"
"71",10131,"CRESTWOOD MEDICAL CENTER","4713","7","249","826","1835","238","73","186","60"
"72",10138,"HILL HOSPITAL OF SUMTER COUNTY","0","0","0","0","0","0","0","0","0"
"73",10139,"BROOKWOOD BAPTIST MEDICAL CENTER","2818","392","307","3055","3730","1455","375","113","354"
"74",10144,"SPRINGHILL MEMORIAL HOSPITAL","2057","0","13","201","1770","615","323","87","52"
